numero;origine_numero;nature;type_organisation;denomination;sigle;objet;siege_social;telephone;declarant;bureau;date_document;qr_present;format;fichier_source;rang_dans_fichier
AS20250014;contenu;provisoire;association;"ASSOCIATION MAM'ETU";;;;;;;16/10/2025;;PDF;"02 - ASSOCIATIONS/recepisse_provisoire_ASSOCIATION_MAM_ETU_AS20250014_20251016.pdf";1/1
AS20250014;contenu;provisoire;association;"ASSOCIATION MAM'ETU";;;Libreville;077.89.00.25/066.61.85.54;"Madame Nanette MANGANGA MOULOUNGUI de nationalité";;"16 Octobre 2025";;PDF;"02 - ASSOCIATIONS/AS20250014 - MAM’ETU.pdf";1/1
AS20250014;contenu;provisoire;association;"ASSOCIATION MAM'ETU";;;Libreville;077.89.00.25/066.61.85.54;"Madame Nanette MANGANGA MOULOUNGUI de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/AS20250014 - MAM’ETU.docx";1/1
AS20250015;contenu;provisoire;association;"ASSOCIATION ANCIENS GABONAIS DU MAROC";;;Libreville;"077.00.59.58 / 066.78.04.80 /";"Monsieur Guy Roger NGOYO MOUSSAVOU de nationalité";;"16 Octobre 2025";;PDF;"02 - ASSOCIATIONS/AS20250015 - ANCIENS GABONAIS DU MAROC.pdf";1/1
AS20250015;contenu;provisoire;association;"ASSOCIATION ANCIENS GABONAIS DU MAROC";;;Libreville;"077.00.59.58 / 066.78.04.80 / 066.23.04.17";"Monsieur Guy Roger NGOYO MOUSSAVOU de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/AS20250015 - ANCIENS GABONAIS DU MAROC.docx";1/1
AS20250016;contenu;provisoire;association;"MASUKU AUTREMENT DANS L'INCLUSION ET LA NOBLESSE";;;Libreville;"077.97.03.04 / 066.05.29.48 /";"Monsieur NAMA MGADA Lucien Vianey de nationalité";;"16 Octobre 2025";;PDF;"02 - ASSOCIATIONS/AS20250016 - MASUKU AUTREMENT.pdf";1/1
AS20250016;contenu;provisoire;association;"MASUKU AUTREMENT DANS L'INCLUSION ET LA NOBLESSE";;;Libreville;"077.97.03.04 / 066.05.29.48 / 066.78.91.98";"Monsieur NAMA MGADA Lucien Vianey de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/AS20250016 - MASUKU AUTREMENT.docx";1/1
AS20250017;contenu;provisoire;association;"ONG AVOL TSIKA EWILO";;;Libreville;"077.46.65.22 / 065.16.15.75";"Madame Laure MENDOME de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/AS20250017 - ONG AVOL TSIKA EWILO.docx";1/1
AS20250017;contenu;provisoire;association;"ONG AVOL TSIKA EWILO";;;Libreville;"077.46.65.22 / 065.16.15.75";"Madame Laure MENDOME de nationalité Gabonaise";;"16 Octobre 2025";;PDF;"02 - ASSOCIATIONS/AS20250017 - ONG AVOL TSIKA EWILO.pdf";1/1
AS20250018;contenu;provisoire;association;"ASSOCIATION DES ANCIENS ELEVES DU COLLEGE HORIZON";;;Libreville;"077.05.00.60 / 066.76.03.17 / 066.61.45.49";"Monsieur Jésus Arcène MOUNDOUNGA MOUNDOUNGA de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/AS20250018 - ELEVES DU COLLEGE HORIZON.docx";1/1
AS20250018;contenu;provisoire;association;"ASSOCIATION DES ANCIENS ELEVES DU COLLEGE HORIZON";;;Libreville;"077.05.00.60 / 066.76.03.17 /";"Monsieur Jésus Arcène MOUNDOUNGA MOUNDOUNGA de";;"16 Octobre 2025";;PDF;"02 - ASSOCIATIONS/AS20250018 - ELEVES DU COLLEGE HORIZON.pdf";1/1
AS20250019;contenu;provisoire;association;"ASSOCIATION LES FILS DU PAYS";;;Libreville;"066.10.59.13 / 066.41.65.40";"Monsieur Thierry MAKANDO de nationalité Gabonaise";;"16 Octobre 2025";;PDF;"02 - ASSOCIATIONS/AS20250019 - LES FILS DU PAYS.pdf";1/1
AS20250019;contenu;provisoire;association;"ASSOCIATION LES FILS DU PAYS";;;Libreville;"066.10.59.13 / 066.41.65.40";"Monsieur Thierry MAKANDO de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/AS20250019 - LES FILS DU PAYS.docx";1/1
AS20250020;contenu;provisoire;association;"ASSOCIATION DYNAMIQUE DES FILS ET DES FILLES DU PK5";;;Libreville;"077.80.49.70 / 066.20.41.42";"Monsieur Jessie Curtis AMOUGOU NDOUMA de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/AS20250020 - DYNAMIQUE DES FILS ET DES FILLES DU PK5.docx";1/1
AS20250020;contenu;provisoire;association;"ASSOCIATION DYNAMIQUE DES FILS ET DES FILLES DU PK5";;;Libreville;"077.80.49.70 / 066.20.41.42";"Monsieur Jessie Curtis AMOUGOU NDOUMA de nationalité";;"16 Octobre 2025";;PDF;"02 - ASSOCIATIONS/AS20250020 - DYNAMIQUE DES FILS ET DES FILLES DU PK5.pdf";1/1
AS20250021;contenu;provisoire;association;"ASSOCIATION DES PERSONNES HANDICAPEES DE NTOUM";;;Libreville;"077.35.06.22 / 065.77.31.59";"Madame Sylvie MAKOUAKA de nationalité Gabonaise";;"16 Octobre 2025";;PDF;"02 - ASSOCIATIONS/AS20250021 - PERSONNES HANDICAPEES DE NTOUM.pdf";1/1
AS20250021;contenu;provisoire;association;"ASSOCIATION DES PERSONNES HANDICAPEES DE NTOUM";;;Libreville;"077.35.06.22 / 065.77.31.59";"Madame Sylvie MAKOUAKA de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/AS20250021 - PERSONNES HANDICAPEES DE NTOUM.docx";1/1
AS20250022;contenu;provisoire;association;"ASSOCIATION BULLE D'AVS (AUXILIAIRE DE VIE SCOLAIRE";;;Libreville;"077.25.63.87 / 076.46.56.81";"Madame Léa IBENDENDJE RETENO épse SANNI de";;"16 Octobre 2025";;PDF;"02 - ASSOCIATIONS/AS20250022 - BULLE D’AVS.pdf";1/1
AS20250022;contenu;provisoire;association;"ASSOCIATION BULLE D'AVS (AUXILIAIRE DE VIE SCOLAIRE";;;Libreville;"077.25.63.87 / 076.46.56.81";"Madame Léa IBENDENDJE RETENO épse SANNI de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/AS20250022 - BULLE D’AVS.docx";1/1
AS20250023;contenu;provisoire;association;"ASSOCIATION E-ENVIRONNEMENT-PLUS";;;Libreville;"077.71.15.99 / 066.88.16.13";"Monsieur Mestrick NDANGHA MBOME de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/_ AS20250023 - PROVISOIR.docx";1/1
AS20250023;contenu;provisoire;association;"ASSOCIATION E-ENVIRONNEMENT-PLUS";;;Libreville;"077.71.15.99 / 066.88.16.13";"Monsieur Mestrick NDANGHA MBOME de nationalité";;"16 Octobre 2025";;PDF;"02 - ASSOCIATIONS/AS20250023 - E-ENVIRONNEMENT-PLUS.pdf";1/1
AS20250023;contenu;provisoire;association;"ASSOCIATION E-ENVIRONNEMENT-PLUS";;;Libreville;"077.71.15.99 / 066.88.16.13";"Monsieur Mestrick NDANGHA MBOME de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/AS20250023 - E-ENVIRONNEMENT-PLUS.docx";1/1
AS20250023;contenu;provisoire;association;"ASSOCIATION E-ENVIRONNEMENT-PLUS";;;Libreville;"077.71.15.99 / 066.88.16.13";"Monsieur Mestrick NDANGHA MBOME de nationalité Gabonaise";;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/_AS20250025 - ANNE ONDO METHOGO’S FONDATION.docx";1/1
AS20250024;contenu;definitif;association;"ASSOCIATION NZILE MURIME";;"Cette association à but non lucratif a pour objectif d'apporter un soutien multiforme aux personnes défavorisées, en organisant des ateliers de fabrication de savon";;066.62.21.45/066.43.31.47;;;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/_ AS20250024 - DEFINITIF.docx";1/1
AS20250024;contenu;definitif;association;"ASSOCIATION NZILE MURIME";;"Cette association à but non lucratif a pour objectif d'apporter un soutien multiforme aux personnes défavorisées, en organisant des ateliers de fabrication de savon";;066.62.21.45/066.43.31.47;;;"16 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/AS20250024 - ASSOCIATION NZILE MURIME.docx";1/1
AS20250024;contenu;definitif;association;"ASSOCIATION NZILE MURIME";;"Cette association à but non lucratif a pour objectif d'apporter un soutien multiforme
aux personnes défavorisées, en organisant des ateliers de fabrication de savon";;066.62.21.45/066.43.31.47;;;"16 Octobre 2025";;PDF;"02 - ASSOCIATIONS/AS20250024 - ASSOCIATION NZILE MURIME.pdf";1/1
AS20250025;contenu;provisoire;association;"COMITE DES JEUNES DEFENSEURS DE L'ENVIRONNEMENT";;;Libreville;"066.01.90.43 / 074.28.80.24";"Monsieur Ambroise NDONG ABESSOLO de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250025 - RP -  Comité des Jeunes Défenseurs de l’Environnement.docx";1/1
AS20250025;contenu;provisoire;association;"COMITE DES JEUNES DEFENSEURS DE L'ENVIRONNEMENT";;;Libreville;"066.01.90.43 / 074.28.80.24";"Monsieur Ambroise NDONG ABESSOLO de nationalité";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250025 - RP -  Comité des Jeunes Défenseurs de l’Environnement.pdf";1/1
AS20250026;contenu;provisoire;association;"ONG WANDA";;;Libreville;"066.26.94.41 / 076.44.04.02";"Monsieur Guillain NDJEMBI de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250026 - RP -  ONG WANDA.pdf";1/1
AS20250026;contenu;provisoire;association;"ONG WANDA";;;Libreville;"066.26.94.41 / 076.44.04.02";"Monsieur Guillain NDJEMBI de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250026 - RP -  ONG WANDA.docx";1/1
AS20250027;contenu;provisoire;association;"PROJET TORTUES TAHITI GABON";;;Libreville;"062.71.43.35 / 077.62.97.79";"Madame MBOUROBILLA Achile Élodie de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250027 - RP -  Projet Tortues Tahiti Gabon.docx";1/1
AS20250027;contenu;provisoire;association;"PROJET TORTUES TAHITI GABON";;;Libreville;"062.71.43.35 / 077.62.97.79";"Madame MBOUROBILLA Achile Élodie de nationalité";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250027 - RP -  Projet Tortues Tahiti Gabon.pdf";1/1
AS20250028;contenu;provisoire;association;"ASSOCIATION DES JEUNES ENTREPRENEURS DU GABON";;;Libreville;077.67.40.35;"Monsieur Yannick AKOMO EGNINI de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250028 - RP -  Association des Jeunes Entrepreneurs du Gabon.pdf";1/1
AS20250028;contenu;provisoire;association;"ASSOCIATION DES JEUNES ENTREPRENEURS DU GABON";;;Libreville;077.67.40.35;"Monsieur Yannick AKOMO EGNINI de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250028 - RP -  Association des Jeunes Entrepreneurs du Gabon.docx";1/1
AS20250029;contenu;provisoire;association;"ONG FAIRE DU BIEN";;;Libreville;"066.07.81.40 / 077.13.88.47";"Monsieur Crépin ENGOUANG AKA de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250029 - RP -  ONG Faire du Bien.pdf";1/1
AS20250029;contenu;provisoire;association;"ONG FAIRE DU BIEN";;;Libreville;"066.07.81.40 / 077.13.88.47";"Monsieur Crépin ENGOUANG AKA de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250029 - RP -  ONG Faire du Bien.docx";1/1
AS20250030;contenu;provisoire;association;"ONG LES CHEVALIERS DE LA SOLIDARITE";;;Libreville;"066.27.63.54 / 066.02.12.25";"Monsieur Martial ENGO EBOZOGHE de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250030 - RP -  ONG Les Chevaliers de la Solidarité.docx";1/1
AS20250030;contenu;provisoire;association;"ONG LES CHEVALIERS DE LA SOLIDARITE";;;Libreville;"066.27.63.54 / 066.02.12.25";"Monsieur Martial ENGO EBOZOGHE de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250030 - RP -  ONG Les Chevaliers de la Solidarité.pdf";1/1
AS20250031;contenu;provisoire;association;"ASSOCIATION DURONDU";;;Libreville;"066.61.19.21 / 077.13.11.92";"Monsieur Blaise MAKANGA DIVASSA de nationalité Gabonaise";;"29 Octobre 2025";;DOCX;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250031 - RP -  Association Durondu.docx";1/1
AS20250031;contenu;provisoire;association;"ASSOCIATION DURONDU";;;Libreville;"066.61.19.21 / 077.13.11.92";"Monsieur Blaise MAKANGA DIVASSA de nationalité Gabonaise";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250031 - RP -  Association Durondu.pdf";1/1
AS20250032;contenu;provisoire;association;"COORDINATION NATIONALE DES FEDERATIONS
ARTISTIQUES ET CULTURELLES (CONAFAC)";;;Libreville;"066.68.32.24 / 077.96.43.01";"Monsieur Christian Mermance N'NANG NSOME de nationalité";;"29 Octobre 2025";;PDF;"02 - ASSOCIATIONS/30 OCTOBRE/30 Octobre 2025/AS20250032 - RP -  Coordination Nationale des Fédérations Artistiques et Culturelles (CONAFAC).pdf";1/1
